No,max_GA,max_PSO,max_EMVO,max_LS-JSP,min_GA,min_PSO,min_EMVO,min_LS-JSP,average_GA,average_PSO,average_EMVO,average_LS-JSP
1,23138.00,23632.50,23314.10,23479.60,22982.40,23137.20,22989.90,23140.70,23066.16,23424.34,23153.39,23342.31
2,23181.10,23847.30,23186.20,23358.30,22882.70,23237.40,23006.00,23048.00,23062.46,23563.78,23087.10,23195.84
3,23142.00,23886.00,23325.60,23197.20,22985.20,23779.50,22981.10,22863.10,23070.44,23810.86,23162.73,23091.50
4,23137.30,23788.10,23477.10,23264.50,22945.50,23399.90,23080.30,22900.50,23050.81,23614.63,23189.45,23065.42
5,23179.30,23662.00,23247.90,23216.80,22966.80,23458.10,22949.50,22809.50,23045.57,23563.69,23067.22,22942.38
6,23235.80,23779.30,23456.30,23433.90,22959.30,23491.30,22972.50,22975.90,23079.84,23607.02,23205.96,23173.32
7,23177.60,23640.70,23360.70,23213.40,23008.80,23402.20,23021.00,22856.30,23087.49,23528.60,23139.00,23030.84
8,23250.70,23810.50,23398.20,23181.60,22812.40,23552.50,22943.80,22891.30,23054.74,23660.40,23153.30,23042.83
9,23145.30,23765.10,23270.30,23243.30,22915.50,23360.70,22978.90,22911.30,23056.73,23563.92,23124.49,23139.29
10,23239.20,23796.70,23250.20,23370.50,22884.40,23454.60,22989.20,23105.00,23047.46,23649.00,23140.43,23247.94
11,23246.10,23742.50,23465.10,23202.20,22979.50,23543.30,23042.30,22933.20,23102.14,23649.28,23250.44,23074.80
12,23187.90,23858.40,23323.30,23387.10,22984.10,23405.60,23097.50,22875.70,23083.40,23638.92,23200.08,23118.23
13,23228.20,23864.80,23321.00,23263.90,22913.30,23492.70,23044.60,22970.30,23106.52,23665.88,23179.64,23123.06
14,23250.20,23886.20,23378.60,23417.80,22953.00,23453.50,22951.20,23059.50,23092.32,23682.73,23090.01,23192.90
15,23342.90,23880.80,23256.00,23111.30,23091.80,23454.00,22940.90,22935.10,23183.41,23708.54,23097.57,23053.86
16,23265.20,23894.20,23325.70,23355.50,22997.90,23568.00,23029.10,23086.00,23101.62,23743.82,23183.48,23160.58
17,23276.00,23702.80,23323.80,23342.80,22988.10,23298.60,22893.70,22939.80,23139.61,23575.90,23124.72,23151.42
18,23214.50,23914.10,23338.30,23390.70,22912.10,23332.50,22970.20,23057.20,23087.75,23602.59,23109.61,23212.53
19,23143.00,23777.80,23291.50,23201.90,22939.20,23283.50,23032.40,22872.80,23047.51,23584.03,23133.46,23070.92
20,23165.00,23818.50,23186.90,23327.20,22908.00,23519.70,22918.50,22965.60,23087.34,23652.76,23063.20,23099.19
21,23230.00,23852.70,23247.40,23314.60,22969.10,23516.80,23053.80,22911.00,23086.35,23660.58,23152.50,23150.39
22,23327.90,23685.10,23329.40,23391.40,23016.90,23134.40,22920.80,23101.00,23130.18,23438.64,23098.06,23249.52
23,23130.90,23667.10,23535.90,23329.70,22936.80,23299.10,22897.70,22936.80,23037.95,23520.27,23122.62,23147.33
24,23233.40,23765.10,23504.80,23417.20,22975.00,23533.50,22999.10,22945.00,23077.41,23657.20,23159.75,23130.01
25,23267.00,23799.50,23385.00,23127.50,22938.60,23487.90,22953.00,22916.10,23108.38,23667.63,23180.60,23024.47
,,,,,,,,,,,,
